State, city, max_price
CA,Fairfax,1200.0
AZ,Phoenix,1200.0
IL,Flossmoor,3600.0
NC,Durham,1200.0
Vaud,Trelex,3600.0
Victoria,Melbourne,1200.0
Tipperary,Thurles,1200.0
AK,Anchorage,1200.0
NY,Lake Ronkonkoma,1200.0
Quebec,Anse Comeau,1200.0
IL,Saint Charles,1200.0
Dublin,Blackrock,1200.0
CT,Norwalk,1200.0
England,Tunbridge Wells,3600.0
NY,Sag Harbor,1200.0
Dubayy,Dubai,3600.0
CA,Rodeo,1200.0
England,Banbury,1200.0
MS,Senatobia,3600.0
Geneve,Versoix,1200.0
Westmeath,Mullingar,1200.0
MN,Saint Paul,3600.0
Riga,Vecmilgravis,1200.0
AZ,Anthem,1200.0
VA,Leesburg,1200.0
MI,Birmingham,1200.0
UT,Dammeron Valley,1200.0
Phuket,Phuket,1200.0
Bucuresti,Voluntari,1200.0
British Columbia,Tsawwassen,1200.0
Istanbul,Istanbul,1200.0
England,Claygate,1200.0
Mazowieckie,Pruszkow,1200.0
MD,College Park,1200.0
VA,Great Falls,1200.0
Victoria,Anglesea,1200.0
MD,Baltimore,1200.0
Queensland,The Grange,1200.0
Tokyo,Tokyo,1200.0
SC,Simpsonville,1200.0
Queensland,Brisbane,1200.0
Vestsjalland,Soro,1200.0
Queensland,Gold Coast,1200.0
Vienna,Vienna,1200.0
New South Wales,Sydney,3600.0
New South Wales,Avalon,3600.0
England,Coventry,1200.0
